id,name,description,location,start_coordinates,duration_minutes,type,activity_level,cost_min,cost_max,tags,seasonality,group_size_min,group_size_max,languages_offered,accessibility_features,vendor_rating,cancellation_policy,booking_volume,image_url,company_id
31,Edinburgh Castle Tour,Historic castle tour with panoramic views,Edinburgh,"{""lat"": 55.9486, ""lng"": -3.2008}",120,History,Easy,15,25,"[""history"",""view""]","[""year-round""]",1,20,"[""English"",""Scottish""]","[""wheelchair_accessible""]",5,Flexible,1500,https://images.unsplash.com/photo-1506744038136-46273834b3fb,20
32,VanDusen Botanical Garden,Explore beautiful botanical gardens,Vancouver,"{""lat"": 49.2397, ""lng"": -123.1308}",90,Nature,Easy,10,20,"[""nature"",""garden""]","[""spring"",""summer""]",1,15,"[""English""]","[""wheelchair_accessible""]",4,Flexible,800,https://images.unsplash.com/photo-1465101046530-73398c7f28ca,21
33,Grand Palace Tour,Visit the magnificent Grand Palace,Bangkok,"{""lat"": 13.7500, ""lng"": 100.4913}",120,History,Easy,20,40,"[""history"",""culture""]","[""year-round""]",1,25,"[""English"",""Thai""]","[]",5,Strict,3000,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,22
34,Gyeongbokgung Palace,Explore the largest palace in Seoul,Seoul,"{""lat"": 37.5796, ""lng"": 126.9770}",90,History,Easy,5,15,"[""history"",""culture""]","[""year-round""]",1,20,"[""English"",""Korean""]","[]",5,Flexible,2500,https://images.unsplash.com/photo-1519864600265-abb23847ef2c,23
35,Griffith Observatory,Stargazing and city views,Los Angeles,"{""lat"": 34.1183, ""lng"": -118.3004}",60,Attraction,Easy,0,15,"[""science"",""view""]","[""year-round""]",1,30,"[""English""]","[""wheelchair_accessible""]",4,Flexible,1800,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429,24
36,Acropolis Museum,Modern museum showcasing ancient artifacts,Athens,"{""lat"": 37.9685, ""lng"": 23.7285}",90,Museum,Easy,10,20,"[""history"",""art""]","[""year-round""]",1,25,"[""English"",""Greek""]","[""wheelchair_accessible""]",5,Flexible,1200,https://images.unsplash.com/photo-1465101046530-73398c7f28ca,25
37,Forbidden City Tour,Explore the imperial palace complex,Beijing,"{""lat"": 39.9163, ""lng"": 116.3972}",180,History,Moderate,30,60,"[""history"",""culture""]","[""year-round""]",1,30,"[""English"",""Chinese""]","[]",5,Strict,4000,https://images.unsplash.com/photo-1465101178521-c1a9136a3b99,26
38,Last Supper Viewing,See Leonardo da Vinci's masterpiece,Milan,"{""lat"": 45.4654, ""lng"": 9.1719}",30,Art,Easy,15,25,"[""art"",""history""]","[""year-round""]",1,15,"[""English"",""Italian""]","[]",5,Strict,2000,https://images.unsplash.com/photo-1506744038136-46273834b3fb,27
39,Northern Lights Tour,Aurora borealis viewing experience,Tromsø,"{""lat"": 69.6496, ""lng"": 18.9560}",180,Adventure,Moderate,100,200,"[""nature"",""winter""]","[""winter""]",1,8,"[""English"",""Norwegian""]","[]",5,Flexible,1500,https://images.unsplash.com/photo-1464983953574-0892a716854b,28
40,Hot Air Balloon Ride,Sunrise balloon ride over Cappadocia,Cappadocia,"{""lat"": 38.6431, ""lng"": 34.8270}",120,Adventure,Easy,150,300,"[""adventure"",""scenic""]","[""spring"",""fall""]",2,16,"[""English"",""Turkish""]","[]",5,Flexible,1800,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,29
41,Waitomo Glowworm Caves,Explore caves with bioluminescent glowworms,Auckland,"{""lat"": -38.2606, ""lng"": 175.1035}",120,Adventure,Moderate,40,80,"[""nature"",""adventure""]","[""year-round""]",1,12,"[""English""]","[]",5,Flexible,900,https://images.unsplash.com/photo-1519864600265-abb23847ef2c,30
42,Angkor Wat Sunrise Tour,Early morning tour of the temple complex,Phnom Penh,"{""lat"": 13.4125, ""lng"": 103.8660}",240,History,Moderate,50,100,"[""history"",""sunrise""]","[""year-round""]",1,15,"[""English"",""Khmer""]","[]",5,Strict,1200,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429,31
43,Oia Sunset Walk,Scenic walk through the white-washed village,Santorini,"{""lat"": 36.4614, ""lng"": 25.3764}",90,Attraction,Easy,0,20,"[""scenic"",""sunset""]","[""spring"",""summer"",""fall""]",1,20,"[""English"",""Greek""]","[]",5,Flexible,2500,https://images.unsplash.com/photo-1465101046530-73398c7f28ca,32

